Sample,Plate,Row,Column,Well,Measurement,Value
2S-M_CAA,2_11954,D,3,D03,Meas B,0.395
1S-M_Glc,2_11954,D,4,D04,Meas B,0.116
3P-M_CAA,2_11954,D,5,D05,Meas B,0.392
2P-M_CAA,2_11954,D,6,D06,Meas B,0.421
1P-M_CAA,2_11954,D,7,D07,Meas B,0.426
3M-M_CAA,2_11954,D,8,D08,Meas B,0.405
2M-M_CAA,2_11954,D,9,D09,Meas B,0.413
1M-M_CAA,2_11954,D,10,D10,Meas B,0.43
CAA,2_11954,D,11,D11,Meas B,0.036
3S-O_Glc,2_11954,E,2,E02,Meas B,0.13
2S-O_Glc,2_11954,E,3,E03,Meas B,0.157
1S-O_Glc,2_11954,E,4,E04,Meas B,0.142
3P-O_Glc,2_11954,E,5,E05,Meas B,0.116
2P-O_Glc,2_11954,E,6,E06,Meas B,0.078
1P-O_Glc,2_11954,E,7,E07,Meas B,0.097
3M-O_Glc,2_11954,E,8,E08,Meas B,0.162
2M-O_Glc,2_11954,E,9,E09,Meas B,0.16
1M-O_Glc,2_11954,E,10,E10,Meas B,0.157
3S-O_CAA,2_11954,F,2,F02,Meas B,0.379
2S-O_CAA,2_11954,F,3,F03,Meas B,0.384
1S-O_CAA,2_11954,F,4,F04,Meas B,0.396
3P-O_CAA,2_11954,F,5,F05,Meas B,0.402
2P-O_CAA,2_11954,F,6,F06,Meas B,0.295
1P-O_CAA,2_11954,F,7,F07,Meas B,0.289
3M-O_CAA,2_11954,F,8,F08,Meas B,0.429
2M-O_CAA,2_11954,F,9,F09,Meas B,0.423
1M-O_CAA,2_11954,F,10,F10,Meas B,0.452
3S_Glc,2_11954,G,2,G02,Meas B,0.118
2S_Glc,2_11954,G,3,G03,Meas B,0.164
1S_Glc,2_11954,G,4,G04,Meas B,0.148
3P_Glc,2_11954,G,5,G05,Meas B,0.107
2P_Glc,2_11954,G,6,G06,Meas B,0.104
1P_Glc,2_11954,G,7,G07,Meas B,0.12
3M_Glc,2_11954,G,8,G08,Meas B,0.12
2M_Glc,2_11954,G,9,G09,Meas B,0.183
1M_Glc,2_11954,G,10,G10,Meas B,0.13
3S_CAA,2_11954,H,2,H02,Meas B,0.367
2S_CAA,2_11954,H,3,H03,Meas B,0.37
1S_CAA,2_11954,H,4,H04,Meas B,0.395
3P_CAA,2_11954,H,5,H05,Meas B,0.392
2P_CAA,2_11954,H,6,H06,Meas B,0.427
1P_CAA,2_11954,H,7,H07,Meas B,0.23
3M_CAA,2_11954,H,8,H08,Meas B,0.407
2M_CAA,2_11954,H,9,H09,Meas B,0.405
1M_CAA,2_11954,H,10,H10,Meas B,0.404
