Sample,Nominator_Plate,Nominator_Well,Nominator_Measurement,Nominator_Value,Denominator_Sample,Denominator_Plate,Denominator_Well,Denominator_Measurement,Denominator_Value,Ratio,Ratio_Mean,Ratio_Std
1S-O_CAA,1_11944,C08,Meas A,553.0000,1S-O_CAA,1_11944,C08,Meas B,0.2030,2724.1379,3436.1442,630.6486
2S-O_CAA,1_11944,C09,Meas A,572.0000,2S-O_CAA,1_11944,C09,Meas B,0.2090,2736.8421,3042.0969,514.4000
3S-O_CAA,1_11944,C10,Meas A,500.0000,3S-O_CAA,1_11944,C10,Meas B,0.1960,2551.0204,2655.1656,534.6975
CAA,1_11944,C11,Meas A,400.0000,CAA,1_11944,C11,Meas B,0.0380,10526.3158,9667.2822,3257.6978
1M-O_Glc,1_11944,D02,Meas A,385.0000,1M-O_Glc,1_11944,D02,Meas B,0.0470,8191.4894,8952.1248,2568.7316
2M-O_Glc,1_11944,D03,Meas A,304.0000,2M-O_Glc,1_11944,D03,Meas B,0.0470,6468.0851,8265.8829,3238.8274
3M-O_Glc,1_11944,D04,Meas A,200.0000,3M-O_Glc,1_11944,D04,Meas B,0.0470,4255.3191,7830.6531,2843.6484
1P-O_Glc,1_11944,D05,Meas A,301.0000,1P-O_Glc,1_11944,D05,Meas B,0.0520,5788.4615,9024.3050,3743.0528
2P-O_Glc,1_11944,D06,Meas A,435.0000,2P-O_Glc,1_11944,D06,Meas B,0.0450,9666.6667,10036.4341,3018.0273
3P-O_Glc,1_11944,D07,Meas A,336.0000,3P-O_Glc,1_11944,D07,Meas B,0.0500,6720.0000,9680.3049,3816.2080
1S-O_Glc,1_11944,D08,Meas A,357.0000,1S-O_Glc,1_11944,D08,Meas B,0.0520,6865.3846,8115.7371,1949.1829
2S-O_Glc,1_11944,D09,Meas A,356.0000,2S-O_Glc,1_11944,D09,Meas B,0.0560,6357.1429,7796.5935,2077.1773
3S-O_Glc,1_11944,D10,Meas A,342.0000,3S-O_Glc,1_11944,D10,Meas B,0.0460,7434.7826,9569.6158,2505.6262
Glc,1_11944,D11,Meas A,365.0000,Glc,1_11944,D11,Meas B,0.0420,8690.4762,9466.8161,4537.0565
1M-M_CAA,1_11944,E02,Meas A,556.0000,1M-M_CAA,1_11944,E02,Meas B,0.1800,3088.8889,3486.8167,542.8848
2M-M_CAA,1_11944,E03,Meas A,448.0000,2M-M_CAA,1_11944,E03,Meas B,0.2140,2093.4579,3672.1762,2181.8051
3M-M_CAA,1_11944,E04,Meas A,470.0000,3M-M_CAA,1_11944,E04,Meas B,0.1830,2568.3060,3124.9957,665.5714
1P-M_CAA,1_11944,E05,Meas A,328.0000,1P-M_CAA,1_11944,E05,Meas B,0.1760,1863.6364,3294.1171,1029.2851
2P-M_CAA,1_11944,E06,Meas A,418.0000,2P-M_CAA,1_11944,E06,Meas B,0.1860,2247.3118,2834.5198,878.7977
3P-M_CAA,1_11944,E07,Meas A,516.0000,3P-M_CAA,1_11944,E07,Meas B,0.2100,2457.1429,2756.1392,519.5844
1S-M_CAA,1_11944,E08,Meas A,612.0000,1S-M_CAA,1_11944,E08,Meas B,0.1920,3187.5000,3487.3018,631.1746
2S-M_CAA,1_11944,E09,Meas A,403.0000,2S-M_CAA,1_11944,E09,Meas B,0.2170,1857.1429,2358.3318,686.6843
3S-M_CAA,1_11944,E10,Meas A,439.0000,3S-M_CAA,1_11944,E10,Meas B,0.1850,2372.9730,2792.8449,656.0580
1M-M_Glc,1_11944,F02,Meas A,258.0000,1M-M_Glc,1_11944,F02,Meas B,0.0450,5733.3333,6688.6905,3682.7114
2M-M_Glc,1_11944,F03,Meas A,350.0000,2M-M_Glc,1_11944,F03,Meas B,0.0510,6862.7451,7809.9020,4124.5647
3M-M_Glc,1_11944,F04,Meas A,312.0000,3M-M_Glc,1_11944,F04,Meas B,0.0510,6117.6471,8407.8385,2216.6254
1P-M_Glc,1_11944,F05,Meas A,377.0000,1P-M_Glc,1_11944,F05,Meas B,0.0500,7540.0000,8745.3682,3256.9156
2P-M_Glc,1_11944,F06,Meas A,395.0000,2P-M_Glc,1_11944,F06,Meas B,0.0530,7452.8302,8259.0926,2752.7861
3P-M_Glc,1_11944,F07,Meas A,377.0000,3P-M_Glc,1_11944,F07,Meas B,0.0540,6981.4815,8845.0948,2611.7564
1S-M_Glc,1_11944,F08,Meas A,317.0000,1S-M_Glc,1_11944,F08,Meas B,0.0490,6469.3878,9598.8983,2441.9772
2S-M_Glc,1_11944,F09,Meas A,449.0000,2S-M_Glc,1_11944,F09,Meas B,0.0540,8314.8148,10203.4504,1717.5875
3S-M_Glc,1_11944,F10,Meas A,465.0000,3S-M_Glc,1_11944,F10,Meas B,0.0470,9893.6170,9696.8333,2432.2553
1M-H_CAA,1_11944,G02,Meas A,425.0000,1M-H_CAA,1_11944,G02,Meas B,0.1830,2322.4044,5003.2286,3903.8916
2M-H_CAA,1_11944,G03,Meas A,457.0000,2M-H_CAA,1_11944,G03,Meas B,0.2000,2285.0000,2952.8057,881.8995
3M-H_CAA,1_11944,G04,Meas A,415.0000,3M-H_CAA,1_11944,G04,Meas B,0.1760,2357.9545,2905.8998,839.0085
1P-H_CAA,1_11944,G05,Meas A,482.0000,1P-H_CAA,1_11944,G05,Meas B,0.1910,2523.5602,3308.6178,917.4517
2P-H_CAA,1_11944,G06,Meas A,320.0000,2P-H_CAA,1_11944,G06,Meas B,0.2000,1600.0000,2113.5251,727.9098
3P-H_CAA,1_11944,G07,Meas A,490.0000,3P-H_CAA,1_11944,G07,Meas B,0.2140,2289.7196,2577.8530,914.6666
1S-H_CAA,1_11944,G08,Meas A,478.0000,1S-H_CAA,1_11944,G08,Meas B,0.2000,2390.0000,3411.0301,1034.0251
2S-H_CAA,1_11944,G09,Meas A,360.0000,2S-H_CAA,1_11944,G09,Meas B,0.2400,1500.0000,2078.3117,541.0262
3S-H_CAA,1_11944,G10,Meas A,468.0000,3S-H_CAA,1_11944,G10,Meas B,0.1920,2437.5000,2558.4529,502.3853
1M-H_Glc,1_11944,H02,Meas A,402.0000,1M-H_Glc,1_11944,H02,Meas B,0.0460,8739.1304,9811.1694,2171.2556
2M-H_Glc,1_11944,H03,Meas A,342.0000,2M-H_Glc,1_11944,H03,Meas B,0.0470,7276.5957,9162.0990,2465.6315
3M-H_Glc,1_11944,H04,Meas A,309.0000,3M-H_Glc,1_11944,H04,Meas B,0.0470,6574.4681,9656.0394,2762.4830
1P-H_Glc,1_11944,H05,Meas A,401.0000,1P-H_Glc,1_11944,H05,Meas B,0.0490,8183.6735,8984.6781,2787.4169
2P-H_Glc,1_11944,H06,Meas A,342.0000,2P-H_Glc,1_11944,H06,Meas B,0.0510,6705.8824,7187.3402,1662.9090
3P-H_Glc,1_11944,H07,Meas A,335.0000,3P-H_Glc,1_11944,H07,Meas B,0.0460,7282.6087,8037.5302,1979.7857
1S-H_Glc,1_11944,H08,Meas A,300.0000,1S-H_Glc,1_11944,H08,Meas B,0.0550,5454.5455,8179.5447,3204.3100
2S-H_Glc,1_11944,H09,Meas A,388.0000,2S-H_Glc,1_11944,H09,Meas B,0.0490,7918.3673,7642.2258,1915.9354
3S-H_Glc,1_11944,H10,Meas A,376.0000,3S-H_Glc,1_11944,H10,Meas B,0.0470,8000.0000,8526.3566,2338.1320
3S-H_Glc,2_11945,A02,Meas A,258.0000,3S-H_Glc,2_11945,A02,Meas B,0.0450,5733.3333,8526.3566,2338.1320
2S-H_Glc,2_11945,A03,Meas A,209.0000,2S-H_Glc,2_11945,A03,Meas B,0.0430,4860.4651,7642.2258,1915.9354
1S-H_Glc,2_11945,A04,Meas A,220.0000,1S-H_Glc,2_11945,A04,Meas B,0.0410,5365.8537,8179.5447,3204.3100
3P-H_Glc,2_11945,A05,Meas A,257.0000,3P-H_Glc,2_11945,A05,Meas B,0.0460,5586.9565,8037.5302,1979.7857
2P-H_Glc,2_11945,A06,Meas A,232.0000,2P-H_Glc,2_11945,A06,Meas B,0.0460,5043.4783,7187.3402,1662.9090
1P-H_Glc,2_11945,A07,Meas A,236.0000,1P-H_Glc,2_11945,A07,Meas B,0.0430,5488.3721,8984.6781,2787.4169
3M-H_Glc,2_11945,A08,Meas A,339.0000,3M-H_Glc,2_11945,A08,Meas B,0.0420,8071.4286,9656.0394,2762.4830
2M-H_Glc,2_11945,A09,Meas A,295.0000,2M-H_Glc,2_11945,A09,Meas B,0.0420,7023.8095,9162.0990,2465.6315
1M-H_Glc,2_11945,A10,Meas A,313.0000,1M-H_Glc,2_11945,A10,Meas B,0.0430,7279.0698,9811.1694,2171.2556
Glc_Spc,2_11945,A11,Meas A,202.0000,Glc_Spc,2_11945,A11,Meas B,0.0360,5611.1111,10040.2151,4106.5673
3S-H_CAA,2_11945,B02,Meas A,353.0000,3S-H_CAA,2_11945,B02,Meas B,0.1860,1897.8495,2558.4529,502.3853
2S-H_CAA,2_11945,B03,Meas A,376.0000,2S-H_CAA,2_11945,B03,Meas B,0.2110,1781.9905,2078.3117,541.0262
1S-H_CAA,2_11945,B04,Meas A,457.0000,1S-H_CAA,2_11945,B04,Meas B,0.1720,2656.9767,3411.0301,1034.0251
3P-H_CAA,2_11945,B05,Meas A,276.0000,3P-H_CAA,2_11945,B05,Meas B,0.1900,1452.6316,2577.8530,914.6666
2P-H_CAA,2_11945,B06,Meas A,240.0000,2P-H_CAA,2_11945,B06,Meas B,0.1700,1411.7647,2113.5251,727.9098
1P-H_CAA,2_11945,B07,Meas A,405.0000,1P-H_CAA,2_11945,B07,Meas B,0.1610,2515.5280,3308.6178,917.4517
3M-H_CAA,2_11945,B08,Meas A,326.0000,3M-H_CAA,2_11945,B08,Meas B,0.1540,2116.8831,2905.8998,839.0085
2M-H_CAA,2_11945,B09,Meas A,379.0000,2M-H_CAA,2_11945,B09,Meas B,0.1800,2105.5556,2952.8057,881.8995
1M-H_CAA,2_11945,B10,Meas A,502.0000,1M-H_CAA,2_11945,B10,Meas B,0.1690,2970.4142,5003.2286,3903.8916
CAA_Spc,2_11945,B11,Meas A,302.0000,CAA_Spc,2_11945,B11,Meas B,0.0350,8628.5714,9874.5574,1273.1378
3S-M_Glc,2_11945,C02,Meas A,270.0000,3S-M_Glc,2_11945,C02,Meas B,0.0430,6279.0698,9696.8333,2432.2553
2S-M_Glc,2_11945,C03,Meas A,386.0000,2S-M_Glc,2_11945,C03,Meas B,0.0420,9190.4762,10203.4504,1717.5875
1S-M_CAA,2_11945,C04,Meas A,428.0000,1S-M_CAA,2_11945,C04,Meas B,0.1550,2761.2903,3487.3018,631.1746
3P-M_Glc,2_11945,C05,Meas A,267.0000,3P-M_Glc,2_11945,C05,Meas B,0.0420,6357.1429,8845.0948,2611.7564
2P-M_Glc,2_11945,C06,Meas A,221.0000,2P-M_Glc,2_11945,C06,Meas B,0.0450,4911.1111,8259.0926,2752.7861
1P-M_Glc,2_11945,C07,Meas A,254.0000,1P-M_Glc,2_11945,C07,Meas B,0.0400,6350.0000,8745.3682,3256.9156
3M-M_Glc,2_11945,C08,Meas A,321.0000,3M-M_Glc,2_11945,C08,Meas B,0.0450,7133.3333,8407.8385,2216.6254
2M-M_Glc,2_11945,C09,Meas A,328.0000,2M-M_Glc,2_11945,C09,Meas B,0.0430,7627.9070,7809.9020,4124.5647
1M-M_Glc,2_11945,C10,Meas A,264.0000,1M-M_Glc,2_11945,C10,Meas B,0.0440,6000.0000,6688.6905,3682.7114
Glc,2_11945,C11,Meas A,148.0000,Glc,2_11945,C11,Meas B,0.0380,3894.7368,9466.8161,4537.0565
3S-M_CAA,2_11945,D02,Meas A,359.0000,3S-M_CAA,2_11945,D02,Meas B,0.1710,2099.4152,2792.8449,656.0580
2S-M_CAA,2_11945,D03,Meas A,304.0000,2S-M_CAA,2_11945,D03,Meas B,0.1810,1679.5580,2358.3318,686.6843
1S-M_Glc,2_11945,D04,Meas A,412.0000,1S-M_Glc,2_11945,D04,Meas B,0.0440,9363.6364,9598.8983,2441.9772
3P-M_CAA,2_11945,D05,Meas A,368.0000,3P-M_CAA,2_11945,D05,Meas B,0.1690,2177.5148,2756.1392,519.5844
2P-M_CAA,2_11945,D06,Meas A,304.0000,2P-M_CAA,2_11945,D06,Meas B,0.1480,2054.0541,2834.5198,878.7977
1P-M_CAA,2_11945,D07,Meas A,456.0000,1P-M_CAA,2_11945,D07,Meas B,0.1400,3257.1429,3294.1171,1029.2851
3M-M_CAA,2_11945,D08,Meas A,369.0000,3M-M_CAA,2_11945,D08,Meas B,0.1450,2544.8276,3124.9957,665.5714
2M-M_CAA,2_11945,D09,Meas A,441.0000,2M-M_CAA,2_11945,D09,Meas B,0.1760,2505.6818,3672.1762,2181.8051
1M-M_CAA,2_11945,D10,Meas A,493.0000,1M-M_CAA,2_11945,D10,Meas B,0.1600,3081.2500,3486.8167,542.8848
CAA,2_11945,D11,Meas A,187.0000,CAA,2_11945,D11,Meas B,0.0380,4921.0526,9667.2822,3257.6978
3S-O_Glc,2_11945,E02,Meas A,305.0000,3S-O_Glc,2_11945,E02,Meas B,0.0410,7439.0244,9569.6158,2505.6262
2S-O_Glc,2_11945,E03,Meas A,250.0000,2S-O_Glc,2_11945,E03,Meas B,0.0430,5813.9535,7796.5935,2077.1773
1S-O_Glc,2_11945,E04,Meas A,256.0000,1S-O_Glc,2_11945,E04,Meas B,0.0420,6095.2381,8115.7371,1949.1829
3P-O_Glc,2_11945,E05,Meas A,242.0000,3P-O_Glc,2_11945,E05,Meas B,0.0400,6050.0000,9680.3049,3816.2080
2P-O_Glc,2_11945,E06,Meas A,254.0000,2P-O_Glc,2_11945,E06,Meas B,0.0430,5906.9767,10036.4341,3018.0273
1P-O_Glc,2_11945,E07,Meas A,237.0000,1P-O_Glc,2_11945,E07,Meas B,0.0410,5780.4878,9024.3050,3743.0528
3M-O_Glc,2_11945,E08,Meas A,294.0000,3M-O_Glc,2_11945,E08,Meas B,0.0430,6837.2093,7830.6531,2843.6484
2M-O_Glc,2_11945,E09,Meas A,226.0000,2M-O_Glc,2_11945,E09,Meas B,0.0490,4612.2449,8265.8829,3238.8274
1M-O_Glc,2_11945,E10,Meas A,234.0000,1M-O_Glc,2_11945,E10,Meas B,0.0410,5707.3171,8952.1248,2568.7316
3S-O_CAA,2_11945,F02,Meas A,342.0000,3S-O_CAA,2_11945,F02,Meas B,0.1720,1988.3721,2655.1656,534.6975
2S-O_CAA,2_11945,F03,Meas A,435.0000,2S-O_CAA,2_11945,F03,Meas B,0.1740,2500.0000,3042.0969,514.4000
1S-O_CAA,2_11945,F04,Meas A,535.0000,1S-O_CAA,2_11945,F04,Meas B,0.1720,3110.4651,3436.1442,630.6486
3P-O_CAA,2_11945,F05,Meas A,447.0000,3P-O_CAA,2_11945,F05,Meas B,0.1480,3020.2703,3345.8005,598.4740
2P-O_CAA,2_11945,F06,Meas A,316.0000,2P-O_CAA,2_11945,F06,Meas B,0.1010,3128.7129,4449.2806,1325.8072
1P-O_CAA,2_11945,F07,Meas A,381.0000,1P-O_CAA,2_11945,F07,Meas B,0.1300,2930.7692,4122.9246,1263.4375
3M-O_CAA,2_11945,F08,Meas A,403.0000,3M-O_CAA,2_11945,F08,Meas B,0.1590,2534.5912,2919.4924,545.4325
2M-O_CAA,2_11945,F09,Meas A,455.0000,2M-O_CAA,2_11945,F09,Meas B,0.1830,2486.3388,3034.0173,569.0498
1M-O_CAA,2_11945,F10,Meas A,526.0000,1M-O_CAA,2_11945,F10,Meas B,0.1840,2858.6957,3074.7850,319.0768
3S_Glc,2_11945,G02,Meas A,271.0000,3S_Glc,2_11945,G02,Meas B,0.0400,6775.0000,9190.6022,1787.6518
2S_Glc,2_11945,G03,Meas A,237.0000,2S_Glc,2_11945,G03,Meas B,0.0440,5386.3636,7932.7020,1806.5511
1S_Glc,2_11945,G04,Meas A,291.0000,1S_Glc,2_11945,G04,Meas B,0.0440,6613.6364,9588.6942,2798.5952
3P_Glc,2_11945,G05,Meas A,243.0000,3P_Glc,2_11945,G05,Meas B,0.0410,5926.8293,8983.0777,2979.8738
2P_Glc,2_11945,G06,Meas A,252.0000,2P_Glc,2_11945,G06,Meas B,0.0460,5478.2609,9426.3834,4098.3023
1P_Glc,2_11945,G07,Meas A,293.0000,1P_Glc,2_11945,G07,Meas B,0.0460,6369.5652,9702.2104,2885.5205
3M_Glc,2_11945,G08,Meas A,300.0000,3M_Glc,2_11945,G08,Meas B,0.0410,7317.0732,9094.5960,2489.7957
2M_Glc,2_11945,G09,Meas A,293.0000,2M_Glc,2_11945,G09,Meas B,0.0450,6511.1111,9086.1333,2149.9353
1M_Glc,2_11945,G10,Meas A,204.0000,1M_Glc,2_11945,G10,Meas B,0.0410,4975.6098,8462.1062,2740.4955
3S_CAA,2_11945,H02,Meas A,420.0000,3S_CAA,2_11945,H02,Meas B,0.1780,2359.5506,2544.2280,292.5074
2S_CAA,2_11945,H03,Meas A,592.0000,2S_CAA,2_11945,H03,Meas B,0.1890,3132.2751,3846.1739,526.1135
1S_CAA,2_11945,H04,Meas A,473.0000,1S_CAA,2_11945,H04,Meas B,0.1860,2543.0108,3047.1006,495.0941
3P_CAA,2_11945,H05,Meas A,318.0000,3P_CAA,2_11945,H05,Meas B,0.1550,2051.6129,2892.1083,874.7672
2P_CAA,2_11945,H06,Meas A,498.0000,2P_CAA,2_11945,H06,Meas B,0.1520,3276.3158,3717.1756,859.7650
1P_CAA,2_11945,H07,Meas A,469.0000,1P_CAA,2_11945,H07,Meas B,0.1480,3168.9189,3573.1961,960.6124
3M_CAA,2_11945,H08,Meas A,428.0000,3M_CAA,2_11945,H08,Meas B,0.1880,2276.5957,2569.9421,380.4548
2M_CAA,2_11945,H09,Meas A,730.0000,2M_CAA,2_11945,H09,Meas B,0.1910,3821.9895,4347.8759,865.4118
1M_CAA,2_11945,H10,Meas A,480.0000,1M_CAA,2_11945,H10,Meas B,0.2050,2341.4634,2671.3731,482.5770
1M_CAA,3_11946,A02,Meas A,563.0000,1M_CAA,3_11946,A02,Meas B,0.2190,2570.7763,2671.3731,482.5770
2M_CAA,3_11946,A03,Meas A,896.0000,2M_CAA,3_11946,A03,Meas B,0.1930,4642.4870,4347.8759,865.4118
3M_CAA,3_11946,A04,Meas A,536.0000,3M_CAA,3_11946,A04,Meas B,0.1910,2806.2827,2569.9421,380.4548
1P_CAA,3_11946,A05,Meas A,602.0000,1P_CAA,3_11946,A05,Meas B,0.1530,3934.6405,3573.1961,960.6124
2P_CAA,3_11946,A06,Meas A,694.0000,2P_CAA,3_11946,A06,Meas B,0.1560,4448.7179,3717.1756,859.7650
3P_CAA,3_11946,A07,Meas A,547.0000,3P_CAA,3_11946,A07,Meas B,0.1640,3335.3659,2892.1083,874.7672
1S_CAA,3_11946,A08,Meas A,631.0000,1S_CAA,3_11946,A08,Meas B,0.1930,3269.4301,3047.1006,495.0941
2S_CAA,3_11946,A09,Meas A,868.0000,2S_CAA,3_11946,A09,Meas B,0.2120,4094.3396,3846.1739,526.1135
3S_CAA,3_11946,A10,Meas A,498.0000,3S_CAA,3_11946,A10,Meas B,0.1790,2782.1229,2544.2280,292.5074
CAA_Spc,3_11946,A11,Meas A,399.0000,CAA_Spc,3_11946,A11,Meas B,0.0390,10230.7692,9874.5574,1273.1378
1M_Glc,3_11946,B02,Meas A,469.0000,1M_Glc,3_11946,B02,Meas B,0.0450,10422.2222,8462.1062,2740.4955
2M_Glc,3_11946,B03,Meas A,442.0000,2M_Glc,3_11946,B03,Meas B,0.0470,9404.2553,9086.1333,2149.9353
3M_Glc,3_11946,B04,Meas A,417.0000,3M_Glc,3_11946,B04,Meas B,0.0430,9697.6744,9094.5960,2489.7957
1P_Glc,3_11946,B05,Meas A,518.0000,1P_Glc,3_11946,B05,Meas B,0.0420,12333.3333,9702.2104,2885.5205
2P_Glc,3_11946,B06,Meas A,451.0000,2P_Glc,3_11946,B06,Meas B,0.0410,11000.0000,9426.3834,4098.3023
3P_Glc,3_11946,B07,Meas A,346.0000,3P_Glc,3_11946,B07,Meas B,0.0400,8650.0000,8983.0777,2979.8738
1S_Glc,3_11946,B08,Meas A,422.0000,1S_Glc,3_11946,B08,Meas B,0.0430,9813.9535,9588.6942,2798.5952
2S_Glc,3_11946,B09,Meas A,428.0000,2S_Glc,3_11946,B09,Meas B,0.0450,9511.1111,7932.7020,1806.5511
3S_Glc,3_11946,B10,Meas A,410.0000,3S_Glc,3_11946,B10,Meas B,0.0430,9534.8837,9190.6022,1787.6518
Glc_Spc,3_11946,B11,Meas A,473.0000,Glc_Spc,3_11946,B11,Meas B,0.0380,12447.3684,10040.2151,4106.5673
1M-O_CAA,3_11946,C02,Meas A,615.0000,1M-O_CAA,3_11946,C02,Meas B,0.2000,3075.0000,3074.7850,319.0768
2M-O_CAA,3_11946,C03,Meas A,601.0000,2M-O_CAA,3_11946,C03,Meas B,0.1930,3113.9896,3034.0173,569.0498
3M-O_CAA,3_11946,C04,Meas A,586.0000,3M-O_CAA,3_11946,C04,Meas B,0.1680,3488.0952,2919.4924,545.4325
1P-O_CAA,3_11946,C05,Meas A,523.0000,1P-O_CAA,3_11946,C05,Meas B,0.1360,3845.5882,4122.9246,1263.4375
2P-O_CAA,3_11946,C06,Meas A,588.0000,2P-O_CAA,3_11946,C06,Meas B,0.1070,5495.3271,4449.2806,1325.8072
3P-O_CAA,3_11946,C07,Meas A,590.0000,3P-O_CAA,3_11946,C07,Meas B,0.1570,3757.9618,3345.8005,598.4740
1S-O_CAA,3_11946,C08,Meas A,742.0000,1S-O_CAA,3_11946,C08,Meas B,0.1810,4099.4475,3436.1442,630.6486
2S-O_CAA,3_11946,C09,Meas A,649.0000,2S-O_CAA,3_11946,C09,Meas B,0.1960,3311.2245,3042.0969,514.4000
3S-O_CAA,3_11946,C10,Meas A,492.0000,3S-O_CAA,3_11946,C10,Meas B,0.1750,2811.4286,2655.1656,534.6975
CAA,3_11946,C11,Meas A,456.0000,CAA,3_11946,C11,Meas B,0.0370,12324.3243,9667.2822,3257.6978
1M-O_Glc,3_11946,D02,Meas A,467.0000,1M-O_Glc,3_11946,D02,Meas B,0.0450,10377.7778,8952.1248,2568.7316
2M-O_Glc,3_11946,D03,Meas A,489.0000,2M-O_Glc,3_11946,D03,Meas B,0.0440,11113.6364,8265.8829,3238.8274
3M-O_Glc,3_11946,D04,Meas A,428.0000,3M-O_Glc,3_11946,D04,Meas B,0.0430,9953.4884,7830.6531,2843.6484
1P-O_Glc,3_11946,D05,Meas A,509.0000,1P-O_Glc,3_11946,D05,Meas B,0.0410,12414.6341,9024.3050,3743.0528
2P-O_Glc,3_11946,D06,Meas A,488.0000,2P-O_Glc,3_11946,D06,Meas B,0.0400,12200.0000,10036.4341,3018.0273
3P-O_Glc,3_11946,D07,Meas A,527.0000,3P-O_Glc,3_11946,D07,Meas B,0.0410,12853.6585,9680.3049,3816.2080
1S-O_Glc,3_11946,D08,Meas A,400.0000,1S-O_Glc,3_11946,D08,Meas B,0.0430,9302.3256,8115.7371,1949.1829
2S-O_Glc,3_11946,D09,Meas A,421.0000,2S-O_Glc,3_11946,D09,Meas B,0.0480,8770.8333,7796.5935,2077.1773
3S-O_Glc,3_11946,D10,Meas A,503.0000,3S-O_Glc,3_11946,D10,Meas B,0.0410,12268.2927,9569.6158,2505.6262
Glc,3_11946,D11,Meas A,406.0000,Glc,3_11946,D11,Meas B,0.0390,10410.2564,9466.8161,4537.0565
1M-M_CAA,3_11946,E02,Meas A,574.0000,1M-M_CAA,3_11946,E02,Meas B,0.1620,3543.2099,3486.8167,542.8848
2M-M_CAA,3_11946,E03,Meas A,316.0000,2M-M_CAA,3_11946,E03,Meas B,0.0460,6869.5652,3672.1762,2181.8051
3M-M_CAA,3_11946,E04,Meas A,484.0000,3M-M_CAA,3_11946,E04,Meas B,0.1360,3558.8235,3124.9957,665.5714
1P-M_CAA,3_11946,E05,Meas A,510.0000,1P-M_CAA,3_11946,E05,Meas B,0.1320,3863.6364,3294.1171,1029.2851
